latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.8712,4.5947,,0,GMT,GMT

time,"temperature_2m (°C)","wind_speed_10m (kn)","wind_direction_10m (°)","pressure_msl (hPa)","relative_humidity_2m (%)"
2026-02-01T00:00,3.4,3.3,126,1007.2,98
2026-02-01T01:00,4.1,3.7,141,1007.1,98
2026-02-01T02:00,4.5,3.8,150,1007.6,99
2026-02-01T03:00,4.2,3.1,145,1007.4,100
2026-02-01T04:00,4.2,3,148,1007.3,100
2026-02-01T05:00,4.3,2.5,148,1006.8,100
2026-02-01T06:00,4.2,3.6,119,1006.8,100
2026-02-01T07:00,4.2,3.7,137,1007.4,100
2026-02-01T08:00,4.3,3.4,156,1007.1,100
2026-02-01T09:00,4.5,3.7,155,1006.6,100
2026-02-01T10:00,4.7,5.5,153,1006.9,100
2026-02-01T11:00,4.9,5,154,1006.5,100
2026-02-01T12:00,5.1,4,129,1006.2,100
2026-02-01T13:00,5.7,5,141,1005.7,97
2026-02-01T14:00,5.8,3.9,143,1004.6,97
2026-02-01T15:00,6.3,4.5,133,1004.4,95
2026-02-01T16:00,6.3,4,141,1004.6,96
2026-02-01T17:00,6.2,5.2,121,1004.1,96
2026-02-01T18:00,6.2,5.8,132,1003.9,97
2026-02-01T19:00,6.1,5.9,131,1003.5,98
2026-02-01T20:00,6,7.2,128,1003,98
2026-02-01T21:00,5.9,6.5,129,1002.3,98
2026-02-01T22:00,5.8,6.6,124,1001.7,99
2026-02-01T23:00,5.5,4.4,139,1001.8,99
2026-02-02T00:00,5.4,4.3,133,1001,99
2026-02-02T01:00,5.6,3,135,1000.7,100
2026-02-02T02:00,5.6,3.3,107,1000.1,100
2026-02-02T03:00,5.5,3.1,94,999.1,99
2026-02-02T04:00,5.5,3.4,106,998.9,99
2026-02-02T05:00,5.5,3.9,108,998.9,99
2026-02-02T06:00,5.3,3,122,999,100
2026-02-02T07:00,5.2,3.7,129,999.1,100
2026-02-02T08:00,5.1,3.3,126,998.9,100
2026-02-02T09:00,5.3,2.8,124,998.9,100
2026-02-02T10:00,5.6,3.6,131,998.7,100
2026-02-02T11:00,5.6,3.6,139,999,97
2026-02-02T12:00,6,3.3,126,998.6,91
2026-02-02T13:00,7,4,129,997.8,84
2026-02-02T14:00,7.1,4.3,120,997.4,79
2026-02-02T15:00,7.3,3.9,110,997.1,78
2026-02-02T16:00,6.7,5.7,112,996.8,80
2026-02-02T17:00,5.5,6,105,996.6,88
2026-02-02T18:00,5,5,106,997.1,92
2026-02-02T19:00,4.4,5.3,107,997,92
2026-02-02T20:00,4.3,6.7,107,997.1,90
2026-02-02T21:00,4.2,6,115,996.7,91
2026-02-02T22:00,4.2,6.1,107,996.2,90
2026-02-02T23:00,4.3,5.1,115,995.9,89
2026-02-03T00:00,4.3,5.8,116,995.5,87
2026-02-03T01:00,4.6,5.5,108,994.8,84
2026-02-03T02:00,4.5,5.7,106,994.1,85
2026-02-03T03:00,4.9,5.1,108,993.7,85
2026-02-03T04:00,4.7,5.5,117,993.5,90
2026-02-03T05:00,4.7,5.8,105,992.2,92
2026-02-03T06:00,4.6,5.3,123,992.1,94
2026-02-03T07:00,4.6,4.2,124,992.7,96
2026-02-03T08:00,4.1,7.5,127,993.6,96
2026-02-03T09:00,4.6,7,124,992.8,97
2026-02-03T10:00,5.5,9.2,131,992.2,91
2026-02-03T11:00,4.9,9.5,118,992.6,92
2026-02-03T12:00,5,8.3,123,992.9,97
2026-02-03T13:00,5.4,6.2,160,993.2,99
2026-02-03T14:00,7.1,5.1,203,994.1,99
2026-02-03T15:00,7.1,5.7,204,995.1,98
2026-02-03T16:00,7.5,7.4,207,996.1,94
2026-02-03T17:00,7.2,6.3,191,996.8,96
2026-02-03T18:00,7,6.3,189,997.5,92
2026-02-03T19:00,6.4,4,145,998.1,96
2026-02-03T20:00,6.4,4.1,131,998.1,96
2026-02-03T21:00,6.3,3.9,162,998.5,93
2026-02-03T22:00,5.9,4.4,151,999,94
2026-02-03T23:00,5.8,4.5,162,999.1,95
2026-02-04T00:00,5.5,2.8,168,999.2,95
2026-02-04T01:00,5.3,3.5,146,999.4,96
2026-02-04T02:00,4.7,2.8,129,999.4,97
2026-02-04T03:00,4.3,3.5,99,998.9,97
2026-02-04T04:00,3.6,3.7,99,998.3,97
2026-02-04T05:00,3.1,2.7,98,998,97
2026-02-04T06:00,2.6,3.4,100,997.6,96
2026-02-04T07:00,2.4,2.3,95,997.2,97
2026-02-04T08:00,2.5,2.2,105,997.3,96
2026-02-04T09:00,5.1,4.4,119,996.6,94
2026-02-04T10:00,6.6,5.2,138,995.9,86
2026-02-04T11:00,7.5,5,121,995.2,77
2026-02-04T12:00,8.6,5.5,129,994.8,73
2026-02-04T13:00,9,5.8,110,994.2,71
2026-02-04T14:00,9.2,4.6,102,993,68
2026-02-04T15:00,9.3,5.3,86,992.6,65
2026-02-04T16:00,8.8,6.4,78,992.1,63
2026-02-04T17:00,7.2,3.1,125,991.8,64
2026-02-04T18:00,6.5,4.6,112,991.4,67
2026-02-04T19:00,5.8,4.2,127,991.4,71
2026-02-04T20:00,5.4,6,115,991.6,76
2026-02-04T21:00,5.3,6.5,117,991.7,77
2026-02-04T22:00,4.7,5.6,119,991.5,80
2026-02-04T23:00,4.1,5,111,991.3,83
2026-02-05T00:00,3.6,4.8,102,991.3,85
2026-02-05T01:00,3.5,4.7,109,990.8,86
2026-02-05T02:00,3.3,5.5,117,991.1,86
2026-02-05T03:00,3.1,6.3,117,990.8,88
2026-02-05T04:00,2.9,6.7,123,990.5,89
2026-02-05T05:00,2.7,6,115,989.9,91
2026-02-05T06:00,2.5,5.8,116,989.6,93
2026-02-05T07:00,2.6,6.7,112,989.8,94
2026-02-05T08:00,2.8,6.4,119,990.3,95
2026-02-05T09:00,3.2,5.7,118,989.3,94
2026-02-05T10:00,3.6,6.5,120,989.4,95
2026-02-05T11:00,3.9,6.1,121,989.1,95
2026-02-05T12:00,4.5,6.2,129,988.2,95
2026-02-05T13:00,5.3,5.7,121,988.2,94
2026-02-05T14:00,5.8,5.1,122,987.5,94
2026-02-05T15:00,6.2,5.2,124,987.5,95
2026-02-05T16:00,6.5,5.2,132,987.5,95
2026-02-05T17:00,6.1,4,125,987,96
2026-02-05T18:00,5.8,4.1,139,986.4,96
2026-02-05T19:00,5.4,3,135,985.9,97
2026-02-05T20:00,5.6,3.3,130,986.4,95
2026-02-05T21:00,5.8,3.9,127,986.5,93
2026-02-05T22:00,5.5,3.3,111,986.5,92
2026-02-05T23:00,5.4,3.9,117,986.4,90
2026-02-06T00:00,5.4,4.4,128,986.8,88
2026-02-06T01:00,5.3,4.7,114,986.9,89
2026-02-06T02:00,5,5.2,117,987,92
2026-02-06T03:00,5.1,5.1,122,986.7,96
2026-02-06T04:00,4.8,5.4,125,986.9,97
2026-02-06T05:00,4.5,4.8,130,987.1,97
2026-02-06T06:00,4.6,5.2,124,987.7,97
2026-02-06T07:00,4.3,5.1,122,988.2,98
2026-02-06T08:00,4.2,5.5,113,988.7,99
2026-02-06T09:00,4.2,5.9,117,988.6,100
2026-02-06T10:00,4.8,3.3,118,989.8,99
2026-02-06T11:00,5.2,3,122,990.3,100
2026-02-06T12:00,5.8,2.4,119,990.4,100
2026-02-06T13:00,7.4,2,101,990.3,100
2026-02-06T14:00,9.1,6.1,207,991.2,92
2026-02-06T15:00,9.2,5.8,192,991.4,90
2026-02-06T16:00,8.4,3.2,213,992.4,96
2026-02-06T17:00,7.7,2.9,176,993.1,98
2026-02-06T18:00,7.7,3.7,171,994.3,100
2026-02-06T19:00,7.8,4.9,203,995.4,99
2026-02-06T20:00,7.8,4.2,208,996.1,98
2026-02-06T21:00,7.5,2.8,205,997.1,99
2026-02-06T22:00,7.1,2.1,185,998,99
2026-02-06T23:00,6.7,2.5,157,998.8,100
2026-02-07T00:00,6.6,2.8,164,999.4,100
2026-02-07T01:00,6.1,2.6,163,1000.3,99
2026-02-07T02:00,5.9,2.7,180,1000.5,99
2026-02-07T03:00,5.4,2.6,163,1001,100
2026-02-07T04:00,5.2,2.7,150,1001.7,100
2026-02-07T05:00,4.9,3.2,155,1002.1,100
2026-02-07T06:00,5,3.1,150,1002.4,100
2026-02-07T07:00,4.9,2.2,135,1003.1,100
2026-02-07T08:00,5.1,2.5,135,1003.2,100
2026-02-07T09:00,5.6,4.8,130,1003.5,100
2026-02-07T10:00,6.2,4.9,135,1003.6,98
2026-02-07T11:00,7.3,4.8,148,1003.6,93
2026-02-07T12:00,8.6,5.9,146,1003.4,86
2026-02-07T13:00,9.6,5.8,154,1002.8,79
2026-02-07T14:00,9.7,5.7,162,1002.9,77
2026-02-07T15:00,9.6,5.9,153,1003.1,79
2026-02-07T16:00,9.1,4.3,153,1003.6,80
2026-02-07T17:00,8.1,3.9,139,1003.8,83
2026-02-07T18:00,7,4.6,152,1004.3,91
2026-02-07T19:00,6.2,3.4,156,1004.7,91
2026-02-07T20:00,5.7,2.4,125,1005.1,92
2026-02-07T21:00,5.3,2.5,141,1005.5,93
2026-02-07T22:00,4.4,1.6,76,1005.9,95
2026-02-07T23:00,3.3,1.8,96,1006,97
2026-02-08T00:00,1.9,1.2,51,1006.2,100
2026-02-08T01:00,1.8,2.1,85,1006.4,100
2026-02-08T02:00,1.9,3.4,103,1006.4,99
2026-02-08T03:00,1.5,1,101,1006.5,99
2026-02-08T04:00,1.6,2.6,126,1006.7,98
2026-02-08T05:00,1.3,2.3,132,1007.2,100
2026-02-08T06:00,1.1,1.7,159,1007,100
2026-02-08T07:00,1.8,2.5,94,1007.8,100
2026-02-08T08:00,2.5,2.6,126,1008.2,100
2026-02-08T09:00,3.5,2.1,95,1008.3,100
2026-02-08T10:00,4.6,2.7,94,1008.4,99
2026-02-08T11:00,6.6,3,122,1008.1,89
2026-02-08T12:00,8.8,2,151,1007.3,77
2026-02-08T13:00,9.6,3.8,168,1007,70
2026-02-08T14:00,9.7,2.8,168,1007.2,72
2026-02-08T15:00,9.6,2.3,175,1006.5,74
2026-02-08T16:00,8.2,2.3,180,1007,80
2026-02-08T17:00,6.3,1.6,135,1007.4,89
2026-02-08T18:00,5.1,3,135,1008.1,94
2026-02-08T19:00,4.2,3.8,125,1008.8,95
2026-02-08T20:00,3.6,4.7,125,1008.4,96
2026-02-08T21:00,3.7,5.1,108,1008.6,97
2026-02-08T22:00,4.1,4.2,118,1008.7,98
2026-02-08T23:00,4.4,3.7,133,1008.4,97
2026-02-09T00:00,4.5,4.6,144,1008.1,94
2026-02-09T01:00,4.2,4.9,143,1008.3,93
2026-02-09T02:00,4.3,5.8,135,1007.7,92
2026-02-09T03:00,4.1,6.1,130,1007.2,91
2026-02-09T04:00,3.9,5.8,138,1007,92
2026-02-09T05:00,3.8,4.3,141,1006.4,94
2026-02-09T06:00,3.8,4.5,146,1006.5,94
2026-02-09T07:00,3.8,5.2,124,1006.7,95
2026-02-09T08:00,3.9,5.3,126,1006.9,95
2026-02-09T09:00,4,5.4,131,1006.4,93
2026-02-09T10:00,4.3,5.5,129,1006.1,92
2026-02-09T11:00,4.6,5.8,130,1005.9,90
2026-02-09T12:00,4.9,6.4,121,1005.3,91
2026-02-09T13:00,5.4,6.3,124,1004.4,90
2026-02-09T14:00,5.6,5.7,125,1003.9,89
2026-02-09T15:00,5.7,5.9,113,1003.8,90
2026-02-09T16:00,5.3,6.2,114,1003.2,92
2026-02-09T17:00,4.8,5.4,120,1002.7,93
2026-02-09T18:00,4.5,5.1,122,1002.6,94
2026-02-09T19:00,4.5,6.7,123,1002.3,94
2026-02-09T20:00,4.3,5.9,122,1001.9,94
2026-02-09T21:00,4.1,5.2,121,1001.3,93
2026-02-09T22:00,3.8,5.5,132,1001,94
2026-02-09T23:00,3.8,5.4,131,1000.2,94
2026-02-10T00:00,3.9,5.8,127,999.5,92
2026-02-10T01:00,4.1,5.8,127,998.4,93
2026-02-10T02:00,4.1,7.7,137,997.6,96
2026-02-10T03:00,4.2,5.2,132,997,98
2026-02-10T04:00,4.4,6.5,141,996.8,98
2026-02-10T05:00,4.4,6.9,130,996.3,100
2026-02-10T06:00,4.5,4.6,123,995.4,99
2026-02-10T07:00,4.7,4.3,117,995.9,100
2026-02-10T08:00,5.1,4.1,121,995.4,100
2026-02-10T09:00,5.6,4,141,995.3,100
2026-02-10T10:00,6.4,3.6,167,995.1,100
2026-02-10T11:00,6.9,3.9,177,994.8,100
2026-02-10T12:00,7.7,4.9,173,993.9,100
2026-02-10T13:00,8.8,7,186,992.9,97
2026-02-10T14:00,8.8,6.8,195,991.7,95
2026-02-10T15:00,8.5,5.6,194,991.5,95
2026-02-10T16:00,8.4,4.9,182,990.9,93
2026-02-10T17:00,8.4,5.8,140,990.5,96
2026-02-10T18:00,8.3,6.6,148,989.2,98
2026-02-10T19:00,8.4,6.5,147,988.3,99
2026-02-10T20:00,8.7,6.8,141,987.1,100
2026-02-10T21:00,8.7,5.9,163,986,99
2026-02-10T22:00,8.6,2.8,146,985,99
2026-02-10T23:00,8.5,3.4,121,984.5,100
2026-02-11T00:00,8.8,1.5,220,983.8,100
2026-02-11T01:00,9.7,8.1,262,984.2,96
2026-02-11T02:00,8.9,4.5,245,984.7,97
2026-02-11T03:00,8.7,5.5,253,984.9,99
2026-02-11T04:00,8.7,5.7,246,985.5,98
2026-02-11T05:00,8.9,5.5,252,985.9,98
2026-02-11T06:00,9.1,6.6,249,986,97
2026-02-11T07:00,8.8,3.9,213,986.7,99
2026-02-11T08:00,9.1,6.5,253,987.2,98
2026-02-11T09:00,9.2,5.2,283,987.4,98
2026-02-11T10:00,9.6,7.2,251,987.8,96
2026-02-11T11:00,9.8,7.3,241,988.3,93
2026-02-11T12:00,10.2,7.5,249,988.6,92
2026-02-11T13:00,10.3,8.1,255,988.7,93
2026-02-11T14:00,9.8,7.5,260,988.8,91
2026-02-11T15:00,9.7,8.1,259,988,92
2026-02-11T16:00,9.8,7.3,250,988.2,86
2026-02-11T17:00,8.8,5.8,217,987.5,90
2026-02-11T18:00,8.7,6.1,191,986.8,91
2026-02-11T19:00,8.7,7.6,184,986.2,90
2026-02-11T20:00,8,6.3,173,984.3,97
2026-02-11T21:00,8.2,7.4,150,982,96
2026-02-11T22:00,8.2,8.6,129,980,97
2026-02-11T23:00,8.6,7,199,977.7,96
2026-02-12T00:00,8.2,7.5,145,976.2,100
2026-02-12T01:00,8.9,7.1,206,975.5,97
2026-02-12T02:00,9.2,5.8,195,975.5,98
2026-02-12T03:00,8.9,3.5,243,974.6,100
2026-02-12T04:00,8.5,6.3,244,975.3,97
2026-02-12T05:00,8.4,5,208,975.5,99
2026-02-12T06:00,8.3,3.5,174,976.1,99
2026-02-12T07:00,7.5,10,306,978.1,98
2026-02-12T08:00,7.4,10.2,315,980,94
2026-02-12T09:00,7.4,6.4,305,981.9,95
2026-02-12T10:00,7.6,5.2,292,983.9,96
2026-02-12T11:00,8.3,4.5,280,984.2,91
2026-02-12T12:00,8.8,7,268,984.5,87
2026-02-12T13:00,9.4,7.8,269,985.3,80
2026-02-12T14:00,8.9,7,265,985.6,87
2026-02-12T15:00,9.3,5.6,256,986.1,81
2026-02-12T16:00,8.9,6,237,986.9,89
2026-02-12T17:00,7.7,2,299,988.2,99
2026-02-12T18:00,7.7,11.1,271,989.2,94
