latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.8712,4.5947,,0,GMT,GMT

time,"temperature_2m (°C)","wind_speed_10m (kn)","wind_direction_10m (°)","pressure_msl (hPa)","relative_humidity_2m (%)"
2026-01-01T00:00,-0.2,1.7,234,1021.1,99
2026-01-01T01:00,0.1,2.1,202,1020.5,96
2026-01-01T02:00,0.1,2.3,180,1020.1,96
2026-01-01T03:00,0,2.5,198,1019.3,95
2026-01-01T04:00,0.1,2.8,231,1018.5,93
2026-01-01T05:00,0.3,4.1,205,1017.2,93
2026-01-01T06:00,0.3,4.6,202,1015.5,93
2026-01-01T07:00,0.5,5.2,211,1014.9,91
2026-01-01T08:00,0.5,6,199,1014.1,92
2026-01-01T09:00,0.2,5.2,214,1013.1,94
2026-01-01T10:00,0.3,4.5,185,1013.2,97
2026-01-01T11:00,0.5,4.9,196,1012.1,95
2026-01-01T12:00,0.5,5.1,217,1010.8,94
2026-01-01T13:00,0.8,3.9,221,1009.9,94
2026-01-01T14:00,0.9,3.1,202,1009.2,97
2026-01-01T15:00,1.1,5,206,1008.4,96
2026-01-01T16:00,0.9,3.3,180,1008,98
2026-01-01T17:00,1,4.2,214,1007.6,98
2026-01-01T18:00,0.8,3.2,245,1006.9,99
2026-01-01T19:00,0.8,3.9,217,1007,99
2026-01-01T20:00,0.8,4.6,220,1006.5,98
2026-01-01T21:00,1,2.9,242,1006,98
2026-01-01T22:00,1.6,3.7,238,1005.7,98
2026-01-01T23:00,2,5.7,232,1005.5,97
2026-01-02T00:00,1.6,5.7,246,1005.5,98
2026-01-02T01:00,1.5,5.2,255,1004.7,98
2026-01-02T02:00,1.6,6.7,260,1004.6,96
2026-01-02T03:00,1.8,6.6,275,1004.7,93
2026-01-02T04:00,1.6,7.8,267,1004.5,89
2026-01-02T05:00,1.2,4.9,265,1004.3,93
2026-01-02T06:00,1,5.8,270,1004.5,92
2026-01-02T07:00,0.4,5.1,274,1004.6,94
2026-01-02T08:00,0.4,5.6,245,1004.8,93
2026-01-02T09:00,0.7,5.1,274,1004.3,93
2026-01-02T10:00,0.5,3.6,254,1004.2,95
2026-01-02T11:00,0.8,4.7,263,1004,93
2026-01-02T12:00,0.9,3.7,245,1003.8,93
2026-01-02T13:00,0.9,4.3,260,1003.2,88
2026-01-02T14:00,0.8,5.4,285,1003.8,82
2026-01-02T15:00,0.4,5.6,282,1004,76
2026-01-02T16:00,-0.3,2.3,312,1004.6,87
2026-01-02T17:00,-0.6,3,297,1005.4,84
2026-01-02T18:00,-0.4,3.2,284,1006.3,78
2026-01-02T19:00,-0.6,4.3,280,1006.6,75
2026-01-02T20:00,-0.6,5,283,1007.1,76
2026-01-02T21:00,-0.8,3.7,298,1007.4,79
2026-01-02T22:00,-1,3.8,285,1007.8,79
2026-01-02T23:00,-1.3,2.5,266,1008.1,83
2026-01-03T00:00,-1.7,3.4,283,1008.4,85
2026-01-03T01:00,-2.3,2.2,225,1008.3,88
2026-01-03T02:00,-2.7,2,191,1008.4,89
2026-01-03T03:00,-2.6,2.7,210,1008.4,91
2026-01-03T04:00,-2.8,3.6,151,1008,94
2026-01-03T05:00,-2.8,3,165,1007.2,94
2026-01-03T06:00,-2.6,4.7,173,1006.8,92
2026-01-03T07:00,-2.5,4.7,161,1006.6,93
2026-01-03T08:00,-2.4,3,191,1006.6,95
2026-01-03T09:00,-1.6,5.4,244,1006.5,88
2026-01-03T10:00,-0.9,5,257,1006.8,87
2026-01-03T11:00,-0.2,6.1,287,1006.7,79
2026-01-03T12:00,0.5,6.5,287,1006.2,65
2026-01-03T13:00,0.6,5.7,278,1006.2,64
2026-01-03T14:00,0.4,6.2,290,1007.4,60
2026-01-03T15:00,0,4.3,280,1007.9,64
2026-01-03T16:00,-0.3,3.5,261,1008.6,69
2026-01-03T17:00,-0.8,4,259,1009,75
2026-01-03T18:00,-1,4.2,281,1009.3,78
2026-01-03T19:00,-0.9,5.2,285,1010.1,87
2026-01-03T20:00,-1.4,3.8,294,1010.4,96
2026-01-03T21:00,-1,3.5,289,1010.7,96
2026-01-03T22:00,-1.2,3.8,305,1011.1,95
2026-01-03T23:00,-1.2,4.1,301,1011.7,95
2026-01-04T00:00,-1.5,4.4,299,1012,95
2026-01-04T01:00,-2,3.2,284,1011.9,95
2026-01-04T02:00,-2.2,2.6,287,1012.5,95
2026-01-04T03:00,-2.4,2.7,274,1012.2,94
2026-01-04T04:00,-3.2,2.4,261,1012.2,95
2026-01-04T05:00,-3.3,4.5,280,1012.6,96
2026-01-04T06:00,-3.3,3.6,292,1012.5,98
2026-01-04T07:00,-3.6,2.7,274,1013,99
2026-01-04T08:00,-4,2.2,243,1013.6,100
2026-01-04T09:00,-3.7,2.3,114,1013.1,99
2026-01-04T10:00,-1.6,1.6,256,1014.1,83
2026-01-04T11:00,-0.8,3.4,257,1013.4,71
2026-01-04T12:00,-0.2,3.4,257,1012.9,70
2026-01-04T13:00,0.5,2.3,265,1012.5,62
2026-01-04T14:00,0.1,3.7,231,1012.8,64
2026-01-04T15:00,-0.3,3.2,237,1012.8,67
2026-01-04T16:00,-1.5,1.7,207,1013,74
2026-01-04T17:00,-3.1,1,127,1013.1,83
2026-01-04T18:00,-3.8,2.8,146,1013.1,91
2026-01-04T19:00,-4.5,1.6,166,1013.6,95
2026-01-04T20:00,-4.3,1.8,198,1013.8,94
2026-01-04T21:00,-4.4,1.6,240,1013.6,94
2026-01-04T22:00,-4.7,1,143,1014,93
2026-01-04T23:00,-6.5,2,107,1014.2,99
2026-01-05T00:00,-7,2.2,105,1013.9,99
2026-01-05T01:00,-6.8,3.4,103,1013.7,100
2026-01-05T02:00,-6.4,3.3,90,1014,100
2026-01-05T03:00,-6.5,2.6,126,1014.3,100
2026-01-05T04:00,-6.7,3,113,1014.2,100
2026-01-05T05:00,-6.5,2.6,126,1013.9,100
2026-01-05T06:00,-6.4,3.1,125,1014,100
2026-01-05T07:00,-6.4,3.7,137,1013.7,100
2026-01-05T08:00,-5.9,4.6,158,1014,100
2026-01-05T09:00,-5.3,2.3,185,1013.8,100
2026-01-05T10:00,-4.8,5.3,161,1013.9,99
2026-01-05T11:00,-4.7,7.9,152,1013.6,99
2026-01-05T12:00,-4,5.6,166,1013.2,99
2026-01-05T13:00,-3.2,6.4,166,1012.5,98
2026-01-05T14:00,-3,8,162,1012.9,99
2026-01-05T15:00,-3,3.5,189,1012.9,97
2026-01-05T16:00,-2.9,6.3,158,1013.2,98
2026-01-05T17:00,-2.9,3.3,130,1013.5,98
2026-01-05T18:00,-3.4,3.4,137,1013.9,98
2026-01-05T19:00,-3.3,3.6,131,1013.8,99
2026-01-05T20:00,-3.2,2.6,117,1014.4,99
2026-01-05T21:00,-3.1,2.9,138,1014.6,100
2026-01-05T22:00,-3.7,1.6,150,1014.7,100
2026-01-05T23:00,-4.3,2,151,1015.3,100
2026-01-06T00:00,-4.1,0.8,225,1015.1,100
2026-01-06T01:00,-3.1,0.4,360,1015.2,98
2026-01-06T02:00,-3.4,2.1,112,1016,100
2026-01-06T03:00,-3.3,1.3,63,1015.3,100
2026-01-06T04:00,-2.6,3.3,7,1016.1,98
2026-01-06T05:00,-2.5,3.7,342,1016.5,97
2026-01-06T06:00,-2.4,3.7,3,1016.5,96
2026-01-06T07:00,-2.2,5,334,1017.2,93
2026-01-06T08:00,-1.8,5,329,1017.5,94
2026-01-06T09:00,-1.8,3.3,332,1018.2,95
2026-01-06T10:00,-0.9,0.9,333,1018.4,95
2026-01-06T11:00,-0,2.9,298,1018.2,91
2026-01-06T12:00,0.1,3.1,292,1017.9,88
2026-01-06T13:00,-0.6,2.9,262,1017.8,92
2026-01-06T14:00,-1,1.8,252,1017.8,89
2026-01-06T15:00,-1,1,270,1017.3,80
2026-01-06T16:00,-1.8,3.4,193,1018.1,97
2026-01-06T17:00,-2.5,3.1,202,1018.6,98
2026-01-06T18:00,-3.1,3.3,173,1018.5,100
2026-01-06T19:00,-3.3,3.3,173,1019.2,100
2026-01-06T20:00,-3.2,3.2,147,1018.9,100
2026-01-06T21:00,-3,3.5,146,1018.2,100
2026-01-06T22:00,-3.1,5.2,165,1017.8,100
2026-01-06T23:00,-3.1,4.5,180,1017.6,100
2026-01-07T00:00,-3.3,4.9,178,1017,100
2026-01-07T01:00,-3.2,4.5,180,1016.2,100
2026-01-07T02:00,-3.2,4.7,175,1016.1,100
2026-01-07T03:00,-3.5,5.7,174,1015,100
2026-01-07T04:00,-3.8,7.2,177,1014.8,100
2026-01-07T05:00,-3.7,7.4,180,1014,100
2026-01-07T06:00,-3.6,8.7,170,1013.3,100
2026-01-07T07:00,-3.5,8.6,172,1013.2,100
2026-01-07T08:00,-3.4,10.5,157,1011.8,100
2026-01-07T09:00,-3.3,12.2,171,1010.4,100
2026-01-07T10:00,-3.2,7.3,163,1010.1,98
2026-01-07T11:00,-3.3,10.7,148,1009.9,99
2026-01-07T12:00,-3.2,7.2,180,1008.9,97
2026-01-07T13:00,-2.9,6.3,154,1008.6,96
2026-01-07T14:00,-2.6,6.6,156,1008.4,97
2026-01-07T15:00,-2.3,6.5,157,1008.7,98
2026-01-07T16:00,-2.1,7,117,1008.9,99
2026-01-07T17:00,-2,2.7,120,1009.4,99
2026-01-07T18:00,-2.1,2.3,160,1009.7,100
2026-01-07T19:00,-1.8,2.8,124,1009.5,100
2026-01-07T20:00,-1.4,3.2,123,1009.5,100
2026-01-07T21:00,-1,2.3,132,1009.5,100
2026-01-07T22:00,-1.2,2.4,119,1010,100
2026-01-07T23:00,-1,3,105,1009.8,100
2026-01-08T00:00,-0.8,2.7,120,1009.5,100
2026-01-08T01:00,-0.5,1.9,143,1009.9,100
2026-01-08T02:00,-0.1,2.7,135,1009.4,100
2026-01-08T03:00,-0.1,2.8,146,1009.2,100
2026-01-08T04:00,0,2.9,118,1009.7,100
2026-01-08T05:00,0.4,3.6,144,1009.7,100
2026-01-08T06:00,0.3,1.8,103,1009,100
2026-01-08T07:00,0.3,3.2,57,1009.8,99
2026-01-08T08:00,0.4,4,125,1008.6,100
2026-01-08T09:00,0.6,3.9,123,1008.4,100
2026-01-08T10:00,0.8,4.3,150,1008.9,100
2026-01-08T11:00,0.9,4.3,156,1007.7,100
2026-01-08T12:00,0.8,4.3,126,1006.7,100
2026-01-08T13:00,1,3.7,137,1006.2,100
2026-01-08T14:00,1.1,2.9,132,1005.9,100
2026-01-08T15:00,1.1,1.9,180,1005.4,100
2026-01-08T16:00,1.2,1.8,103,1004.3,100
2026-01-08T17:00,1.6,2.3,160,1002.7,100
2026-01-08T18:00,1.7,2.6,103,999.8,100
2026-01-08T19:00,2,2.4,61,999,100
2026-01-08T20:00,2.3,1.2,51,997.5,100
2026-01-08T21:00,3.7,2.1,180,994.8,100
2026-01-08T22:00,5.7,9.4,140,992.9,99
2026-01-08T23:00,6.2,7.4,182,991.5,100
2026-01-09T00:00,7.1,11.8,222,990.4,100
2026-01-09T01:00,6.7,7.6,209,989,91
2026-01-09T02:00,6.2,11.4,198,989,86
2026-01-09T03:00,6.1,12.2,189,987.8,84
2026-01-09T04:00,5,13.1,198,987.4,94
2026-01-09T05:00,4.7,16,206,986.4,93
2026-01-09T06:00,4.3,14.9,233,986.7,88
2026-01-09T07:00,3.3,11.1,213,986.9,95
2026-01-09T08:00,3.3,13.6,234,987,93
2026-01-09T09:00,2.6,11.5,234,986.9,95
2026-01-09T10:00,2.3,9.8,226,987.8,95
2026-01-09T11:00,2.2,10.5,251,988.9,95
2026-01-09T12:00,2.2,10.9,243,988.4,98
2026-01-09T13:00,2.5,12.5,257,989.4,95
2026-01-09T14:00,2,10.8,257,989.7,96
2026-01-09T15:00,2,11.8,257,990.3,95
2026-01-09T16:00,1.7,11.1,260,991.8,97
2026-01-09T17:00,1.4,10.9,271,992.7,96
2026-01-09T18:00,0.8,9.3,258,993.1,98
2026-01-09T19:00,1.2,9.2,265,994.6,97
2026-01-09T20:00,1.2,9.3,269,994.8,97
2026-01-09T21:00,1.3,7.8,274,995.3,98
2026-01-09T22:00,1.2,10.5,269,995.9,97
2026-01-09T23:00,1.1,8.8,275,996.7,97
2026-01-10T00:00,1.1,10.2,277,997.5,97
2026-01-10T01:00,1,9.8,279,998.3,97
2026-01-10T02:00,1,8.9,290,999.2,96
2026-01-10T03:00,0.8,8,288,1000.1,97
2026-01-10T04:00,0.9,7.5,298,1001.3,97
2026-01-10T05:00,0.8,9.7,295,1002.2,92
2026-01-10T06:00,0.5,5.6,284,1002.8,96
2026-01-10T07:00,0.4,4,313,1004.2,95
2026-01-10T08:00,0.2,7.6,316,1005.4,93
2026-01-10T09:00,0.1,7.9,301,1006.7,92
2026-01-10T10:00,-0.4,6.6,328,1008,92
2026-01-10T11:00,-0.8,8.2,335,1009.3,89
2026-01-10T12:00,-1,7.2,354,1010,88
2026-01-10T13:00,-1.5,6.9,338,1011.1,89
2026-01-10T14:00,-1.8,6.4,337,1012.8,90
2026-01-10T15:00,-1.9,6.2,340,1013.9,90
2026-01-10T16:00,-2.3,6.9,338,1015.2,94
2026-01-10T17:00,-2.5,6.6,341,1016.7,93
2026-01-10T18:00,-2.2,4.5,342,1017.3,90
2026-01-10T19:00,-2.4,4.1,360,1019,97
2026-01-10T20:00,-2.3,4.7,360,1019.4,94
2026-01-10T21:00,-2.6,5,13,1020.3,93
2026-01-10T22:00,-2.6,2.5,23,1021.2,94
2026-01-10T23:00,-2.6,4.2,34,1022.3,95
2026-01-11T00:00,-2.6,2.6,13,1023.3,90
2026-01-11T01:00,-2.8,2.3,42,1023.4,92
2026-01-11T02:00,-2.5,1.2,9,1024.4,94
2026-01-11T03:00,-2.5,1.7,21,1024.7,89
2026-01-11T04:00,-2.6,0.7,236,1024.8,89
2026-01-11T05:00,-2.3,2.3,204,1024.4,89
2026-01-11T06:00,-2.5,3.9,171,1024.6,92
2026-01-11T07:00,-2.4,5.3,163,1025.1,92
2026-01-11T08:00,-2.5,5.2,180,1025.4,94
2026-01-11T09:00,-2.5,6.2,178,1025.1,97
2026-01-11T10:00,-2,5.1,180,1025.3,98
2026-01-11T11:00,-1.6,6.1,169,1024.6,94
2026-01-11T12:00,-1.5,6.3,158,1024.7,92
2026-01-11T13:00,-1,6.1,163,1023.5,93
2026-01-11T14:00,-0.8,6.5,147,1023.1,90
2026-01-11T15:00,-0.8,7.5,141,1022.6,91
2026-01-11T16:00,-0.7,5.9,157,1022.9,90
2026-01-11T17:00,-0.7,5.9,136,1022.3,91
2026-01-11T18:00,-0.9,6.2,141,1021.8,92
2026-01-11T19:00,-1,6.4,142,1021.2,95
2026-01-11T20:00,-0.7,6,142,1020.6,94
2026-01-11T21:00,-0.4,6.7,150,1019.7,94
2026-01-11T22:00,-0.4,5.7,162,1019,94
2026-01-11T23:00,-0.4,6.8,160,1018.4,94
2026-01-12T00:00,-0.1,9.2,131,1016.7,97
2026-01-12T01:00,-0.1,9.5,139,1016.5,97
2026-01-12T02:00,0.1,15.1,127,1016.2,97
2026-01-12T03:00,0.6,8.5,148,1015.4,97
2026-01-12T04:00,0.4,9.9,121,1014.7,99
2026-01-12T05:00,0.5,13.6,127,1014.2,100
2026-01-12T06:00,0.6,9.2,165,1013.5,100
2026-01-12T07:00,1.2,5.7,121,1013.5,100
2026-01-12T08:00,1.7,5.9,107,1013,100
