recorded_hour,wind_sin,wind_cos
1765249200,0.93,-0.83
1765252800,3.11,-2.93
1765256400,3.81,-3.13
1765260000,4.73,-3.14
1765263600,2.77,-5.77
1765267200,2.89,-4.67
1765270800,3.46,-3.69
1765274400,3.27,-4.26
1765278000,1.4,-7.3
1765281600,2.5,-6.11
1765285200,2.85,-6.28
1765288800,3.67,-5.99
1765292400,5.19,-6.15
1765296000,3.47,-5.47
1765299600,4.47,-4.79
1765303200,3.61,-5.35
1765306800,2.07,-1.04
1765310400,1.82,-3.05
1765314000,1.98,-3.77
1765317600,0.65,-3.08
1765321200,0.01,-3.68
1765324800,-0.13,-1.74
1765328400,0.17,-1.73
1765332000,0.75,-1.02
1765335600,0.86,-2.8
1765339200,-0.87,-2.03
1765342800,0.28,-1.12
1765346400,-0.6,-2.68
1765350000,-0.89,-2.25
1765353600,-2.11,-2.67
1765357200,-0.93,-2.23
1765360800,-1.92,-4.19
1765364400,-2.19,-4.83
1765368000,-3.77,-3.84
1765371600,-2.11,-3.09
1765375200,-1.25,-1.33
1765378800,-0.69,-0.33
1765382400,-0.83,-0.06
1765386000,0.0,0.0
1765389600,0.0,0.0
1765393200,0.0,0.0
1765396800,0.2,0.04
1765400400,0.16,-0.13
1765404000,0.16,0.41
1765407600,0.12,0.16
1765411200,0.28,-0.31
1765414800,0.73,-0.58
1765418400,0.54,-0.27
1765422000,1.46,-1.04
1765425600,1.35,-0.35
1765429200,1.6,-0.56
1765432800,1.48,-0.48
1765436400,1.39,-1.55
1765440000,1.39,-2.7
1765443600,1.04,-0.86
1765447200,3.23,-2.78
1765450800,3.19,-3.18
1765454400,5.2,-4.63
1765458000,1.92,-3.66
1765461600,4.69,-3.57
1765465200,5.34,-3.59
1765468800,5.28,-6.85
1765472400,4.88,-3.94
1765476000,4.72,-5.18
1765479600,4.42,-6.61
1765483200,3.93,-6.76
1765486800,4.6,-5.19
1765490400,3.8,-3.44
1765494000,3.7,-3.84
1765497600,5.38,-4.33
1765501200,5.42,-4.32
1765504800,4.9,-3.88
1765508400,3.16,-3.83
1765512000,3.79,-5.11
1765515600,4.07,-4.67
1765519200,4.7,-5.14
1765522800,5.12,-6.73
1765526400,2.95,-6.33
1765530000,2.19,-5.87
1765533600,2.63,-4.9
1765537200,1.2,-6.8
1765540800,0.29,-4.31
1765544400,1.08,-4.57
1765548000,3.29,-4.14
1765551600,2.94,-3.32
1765555200,4.35,-4.53
1765558800,1.74,-3.25
1765562400,3.54,-3.54
1765566000,5.68,-3.92
1765569600,4.77,-4.27
1765573200,3.77,-4.31
1765576800,2.3,-3.67
1765580400,3.08,-2.62
1765584000,2.75,-2.56
1765587600,2.43,-3.05
1765591200,2.05,-2.25
1765594800,1.66,-1.78
1765598400,0.86,-0.51
1765602000,0.43,-0.22
1765605600,2.76,-2.25
1765609200,1.85,-0.72
1765612800,0.59,0.07
1765616400,0.81,-0.26
1765620000,0.27,0.0
1765623600,0.0,0.0
1765627200,-0.24,-0.17
1765630800,0.38,-2.42
1765634400,-0.12,-0.79
1765638000,0.11,-0.51
1765641600,0.11,-0.12
1765645200,0.72,-0.63
1765648800,0.0,0.0
1765652400,0.0,0.0
1765656000,0.0,0.0
1765659600,0.22,-0.77
1765663200,0.19,-1.39
1765666800,0.26,-2.84
1765670400,-0.24,-2.61
1765674000,0.0,-2.12
1765677600,-1.29,-2.64
1765681200,-0.96,-3.78
1765684800,-0.79,-3.11
1765688400,-0.25,-2.15
1765692000,0.83,-2.3
1765695600,4.19,-4.03
1765699200,2.86,-5.38
1765702800,1.02,-3.89
1765706400,3.27,-5.7
1765710000,2.67,-5.04
1765713600,2.4,-5.83
1765717200,4.53,-4.22
1765720800,4.07,-5.96
1765724400,3.97,-5.27
1765728000,4.55,-5.65
1765731600,5.56,-4.81
1765735200,4.66,-5.34
1765738800,6.84,-5.2
1765742400,5.15,-5.95
1765746000,4.91,-5.44
1765749600,2.41,-6.3
1765753200,3.7,-6.41
1765756800,5.44,-6.04
1765760400,4.34,-5.0
1765764000,4.95,-6.44
1765767600,5.92,-7.14
1765771200,3.44,-6.51
1765774800,6.83,-6.46
1765778400,4.46,-6.75
1765782000,5.26,-6.27
1765785600,4.89,-6.88
1765789200,6.41,-5.3
1765792800,3.8,-4.88
1765796400,4.66,-5.61
1765800000,3.37,-4.17
1765803600,3.66,-5.34
1765807200,2.78,-3.45
1765810800,1.47,-0.99
1765814400,0.0,0.0
1765818000,0.15,0.07
1765821600,0.0,0.0
1765825200,0.03,-0.16
1765828800,0.0,0.0
1765832400,0.0,0.0
1765836000,0.0,0.0
1765839600,1.46,-1.72
1765843200,0.0,0.0
1765846800,0.02,-0.17
1765850400,0.0,0.0
1765854000,0.0,0.0
1765857600,0.0,0.0
1765861200,-0.16,0.03
1765864800,0.18,-0.52
1765868400,0.06,0.19
1765872000,-0.06,-0.26
1765875600,1.25,-0.41
1765879200,3.55,-2.11
1765882800,6.54,-3.03
1765886400,5.59,-3.29
1765890000,3.05,-1.69
1765893600,1.81,-1.97
1765897200,0.03,-0.28
1765900800,0.0,0.0
1765904400,0.23,0.31
1765908000,0.0,0.0
1765911600,0.54,-0.77
1765915200,-0.16,-0.27
1765918800,0.16,-0.03
1765922400,0.0,0.0
1765926000,0.0,0.0
1765929600,0.19,-0.19
1765933200,0.26,-0.12
1765936800,0.33,-0.3
1765940400,0.0,0.0
1765944000,0.0,0.0
1765947600,0.19,-0.21
1765951200,0.0,0.0
1765954800,-0.12,-0.41
1765958400,-0.09,-0.32
1765962000,0.61,-0.81
1765965600,1.25,-1.57
1765969200,0.56,-0.39
1765972800,0.0,0.0
1765976400,0.0,0.0
1765980000,0.6,-0.71
1765983600,3.75,-2.62
1765987200,2.67,-3.18
1765990800,1.68,-2.38
1765994400,1.47,-4.74
1765998000,0.97,-6.29
1766001600,-1.16,-5.07
1766005200,-0.89,-6.35
1766008800,0.37,-5.6
1766012400,2.09,-3.84
1766016000,-0.49,-4.57
1766019600,0.66,-4.57
1766023200,0.9,-5.23
1766026800,0.64,-4.94
1766030400,0.75,-4.43
1766034000,1.24,-5.22
1766037600,1.64,-8.15
1766041200,2.31,-7.11
1766044800,2.4,-6.39
1766048400,2.96,-6.21
1766052000,4.27,-6.79
1766055600,4.53,-9.54
1766059200,3.08,-7.71
1766062800,1.47,-9.89
1766066400,5.03,-5.87
1766070000,6.87,-6.76
1766073600,8.56,-6.99
1766077200,8.49,-9.96
1766080800,4.67,-9.81
1766084400,1.06,-10.66
1766088000,2.99,-6.53
1766091600,2.73,-6.73
1766095200,-1.38,-7.02
1766098800,-0.82,-6.47
1766102400,3.32,-6.31
1766106000,4.12,-8.45
1766109600,2.73,-6.94
1766113200,2.41,-5.29
1766116800,2.7,-5.42
1766120400,-0.94,-4.54
1766124000,0.62,-5.43
1766127600,0.09,-4.33
1766131200,-1.57,-1.73
1766134800,-0.79,-1.06
1766138400,0.68,-2.25
1766142000,-1.77,-1.96
1766145600,-2.35,-1.03
1766149200,-1.57,0.37
1766152800,-0.43,0.39
1766156400,0.0,0.0
1766160000,-0.17,0.23
1766163600,0.0,0.0
1766167200,-0.1,0.13
1766170800,0.08,0.25
1766174400,0.0,0.0
1766178000,0.0,0.0
1766181600,0.0,0.0
1766185200,0.12,0.35
1766188800,0.0,0.0
1766192400,0.02,0.2
1766196000,0.0,0.0
1766199600,0.0,0.0
1766203200,0.13,-0.1
1766206800,0.17,-0.11
1766224800,0.0,0.0
1766228400,0.0,0.0
1766232000,0.0,0.0
1766235600,0.58,-0.06
1766239200,3.77,-2.35
1766242800,4.11,-1.9
1766246400,3.68,-2.11
1766250000,3.89,-1.7
1766253600,4.57,-2.54
1766257200,3.32,-2.82
1766260800,2.15,-0.83
1766264400,2.6,-1.87
1766268000,3.8,-1.31
1766271600,5.21,-2.57
1766275200,5.26,-3.41
1766278800,3.75,-2.49
1766282400,4.43,-2.77
1766286000,2.56,-0.6
1766289600,2.7,-1.2
1766293200,3.65,-3.46
1766296800,3.34,-2.14
1766300400,1.57,-0.62
1766304000,1.17,-0.51
1766307600,2.29,-1.44
1766311200,5.17,-2.13
1766314800,1.89,-0.58
1766318400,2.92,-1.53
1766322000,3.29,0.01
1766325600,0.86,-0.56
1766329200,0.03,0.3
1766332800,-0.04,0.82
1766336400,0.4,0.59
1766340000,0.17,0.02
1766343600,0.02,-0.39
1766347200,-0.03,-1.31
1766350800,2.21,-1.42
1766354400,2.11,-1.28
1766358000,0.41,-0.18
1766361600,0.0,0.0
1766365200,0.0,0.0
1766368800,0.41,-0.18
1766372400,0.1,-0.13
1766376000,-0.09,-0.25
1766379600,-0.06,-0.16
1766383200,0.0,0.0
1766386800,0.0,0.0
1766390400,0.31,-0.65
1766394000,0.47,-0.96
1766397600,1.95,-2.33
1766401200,3.32,-3.66
1766404800,2.09,-2.11
1766408400,1.05,-1.17
1766412000,0.3,-0.56
1766415600,0.0,0.0
1766419200,0.03,-0.28
1766422800,0.07,-0.19
1766426400,0.0,0.0
1766430000,0.07,-0.15
1766433600,0.0,0.0
1766437200,-0.24,-0.83
1766440800,0.0,0.0
1766444400,2.99,-2.97
1766448000,1.95,-0.91
1766451600,2.92,-2.27
1766455200,2.58,-2.68
1766458800,3.52,-2.38
1766462400,2.97,-1.18
1766466000,2.58,-1.18
1766469600,0.8,1.1
1766473200,0.38,0.42
1766476800,3.17,0.98
1766480400,2.6,0.74
1766484000,5.86,-1.87
1766487600,2.77,1.28
1766491200,3.04,2.52
1766494800,2.84,2.45
1766498400,3.81,1.38
1766502000,2.59,2.61
1766505600,2.29,2.59
1766509200,3.27,1.04
1766512800,3.79,1.93
1766516400,4.42,3.65
1766520000,4.09,2.36
1766523600,2.37,1.11
1766527200,3.78,2.81
1766530800,5.99,3.5
1766534400,4.78,2.25
1766538000,3.96,2.43
1766541600,4.43,2.63
1766545200,3.9,3.01
1766548800,3.76,2.75
1766552400,2.64,2.57
1766556000,2.67,3.46
1766559600,2.9,1.38
1766563200,5.69,5.28
1766566800,3.34,1.83
1766570400,4.91,5.59
1766574000,5.4,3.85
1766577600,6.33,6.47
1766581200,5.03,7.04
1766584800,5.43,9.37
1766588400,4.71,7.65
