recorded_hour,humidity,pressure,temperature,wind_sin,wind_cos,hour_sin,hour_cos,day_sin,day_cos,pressure_minus_3h,pressure_trend_3h
"2025-11-15 18:00:00",82,1001.6666666667,14.316666666667,0,0,-1,-1.836970198721E-16,-0.7142921172691,0.69984767714641,,
"2025-11-15 19:00:00",83,1001.8666666667,13.733333333333,0,0,-0.96592582628907,0.25881904510252,-0.7142921172691,0.69984767714641,,
"2025-11-15 20:00:00",83.833333333333,1002.05,13.466666666667,0,0,-0.86602540378444,0.5,-0.7142921172691,0.69984767714641,,
"2025-11-15 21:00:00",84,1002.1166666667,13.283333333333,0,0,-0.70710678118655,0.70710678118655,-0.7142921172691,0.69984767714641,1001.6666666667,0.45000000000005
"2025-11-15 22:00:00",84,1002.3166666667,13.116666666667,0,0,-0.5,0.86602540378444,-0.7142921172691,0.69984767714641,1001.8666666667,0.44999999999993
"2025-11-15 23:00:00",84,1002.1833333333,13.05,0,0,-0.25881904510252,0.96592582628907,-0.7142921172691,0.69984767714641,1002.05,0.13333333333333
"2025-11-16 00:00:00",84,1002.2833333333,13,0,0,0,1,-0.7021479494047,0.71203107877871,1002.1166666667,0.16666666666663
"2025-11-16 01:00:00",84,1002.0666666667,12.883333333333,0,0,0.25881904510252,0.96592582628907,-0.7021479494047,0.71203107877871,1002.3166666667,-0.25
"2025-11-16 02:00:00",83,1001.8833333333,12.8,0,0,0.5,0.86602540378444,-0.7021479494047,0.71203107877871,1002.1833333333,-0.30000000000007
"2025-11-16 03:00:00",83,1001.4833333333,12.716666666667,0,0,0.70710678118655,0.70710678118655,-0.7021479494047,0.71203107877871,1002.2833333333,-0.80000000000007
"2025-11-16 04:00:00",83,1001.3666666667,12.683333333333,0,0,0.86602540378444,0.5,-0.7021479494047,0.71203107877871,1002.0666666667,-0.69999999999982
"2025-11-16 05:00:00",83,1001.3,12.616666666667,0,0,0.96592582628907,0.25881904510252,-0.7021479494047,0.71203107877871,1001.8833333333,-0.58333333333326
"2025-11-16 06:00:00",83,1001.1833333333,12.6,0,0,1,6.1232339957368E-17,-0.7021479494047,0.71203107877871,1001.4833333333,-0.29999999999984
"2025-11-16 07:00:00",83,1001.2666666667,12.533333333333,0,0,0.96592582628907,-0.25881904510252,-0.7021479494047,0.71203107877871,1001.3666666667,-0.10000000000025
"2025-11-16 08:00:00",83,1001.25,12.55,0,0,0.86602540378444,-0.5,-0.7021479494047,0.71203107877871,1001.3,-0.050000000000068
"2025-11-16 09:00:00",83.333333333333,1001.3166666667,12.5,0,0,0.70710678118655,-0.70710678118655,-0.7021479494047,0.71203107877871,1001.1833333333,0.13333333333321
"2025-11-16 10:00:00",84,1001.05,12.5,0,0,0.5,-0.86602540378444,-0.7021479494047,0.71203107877871,1001.2666666667,-0.21666666666647
"2025-11-16 11:00:00",84,1001.1666666667,12.583333333333,0,0,0.25881904510252,-0.96592582628907,-0.7021479494047,0.71203107877871,1001.25,-0.083333333333371
"2025-11-16 12:00:00",84.5,1000.8833333333,12.7,0,0,1.2246467991474E-16,-1,-0.7021479494047,0.71203107877871,1001.3166666667,-0.43333333333339
"2025-11-16 13:00:00",85,1000.95,12.633333333333,0,0,-0.25881904510252,-0.96592582628907,-0.7021479494047,0.71203107877871,1001.05,-0.10000000000014
"2025-11-16 14:00:00",85,1000.7333333333,12.633333333333,0,0,-0.5,-0.86602540378444,-0.7021479494047,0.71203107877871,1001.1666666667,-0.43333333333317
"2025-11-16 15:00:00",84.5,1000.8,12.666666666667,0,0,-0.70710678118655,-0.70710678118655,-0.7021479494047,0.71203107877871,1000.8833333333,-0.083333333333371
"2025-11-16 16:00:00",83.5,1001.2166666667,12.583333333333,0,0,-0.86602540378444,-0.5,-0.7021479494047,0.71203107877871,1000.95,0.26666666666665
"2025-11-16 17:00:00",82.166666666667,1001.65,12.4,0,0,-0.96592582628907,-0.25881904510252,-0.7021479494047,0.71203107877871,1000.7333333333,0.91666666666652
"2025-11-16 18:00:00",80.833333333333,1001.9333333333,12.25,0,0,-1,-1.836970198721E-16,-0.7021479494047,0.71203107877871,1000.8,1.1333333333336
"2025-11-16 19:00:00",79.5,1002.2333333333,12.066666666667,0,0,-0.96592582628907,0.25881904510252,-0.7021479494047,0.71203107877871,1001.2166666667,1.0166666666669
"2025-11-16 20:00:00",78.166666666667,1002.4833333333,11.9,0,0,-0.86602540378444,0.5,-0.7021479494047,0.71203107877871,1001.65,0.83333333333326
"2025-11-16 21:00:00",77,1002.8833333333,11.75,0,0,-0.70710678118655,0.70710678118655,-0.7021479494047,0.71203107877871,1001.9333333333,0.94999999999993
"2025-11-16 22:00:00",76,1003.2,11.583333333333,0,0,-0.5,0.86602540378444,-0.7021479494047,0.71203107877871,1002.2333333333,0.96666666666647
"2025-11-16 23:00:00",74.833333333333,1003.5666666667,11.416666666667,0,0,-0.25881904510252,0.96592582628907,-0.7021479494047,0.71203107877871,1002.4833333333,1.0833333333335
"2025-11-17 00:00:00",74,1003.8333333333,11.266666666667,0,0,0,1,-0.68979600466559,0.72400377895933,1002.8833333333,0.94999999999982
"2025-11-17 01:00:00",72.333333333333,1004,11.116666666667,0,0,0.25881904510252,0.96592582628907,-0.68979600466559,0.72400377895933,1003.2,0.80000000000007
"2025-11-17 02:00:00",68.833333333333,1004.1333333333,10.833333333333,0,0,0.5,0.86602540378444,-0.68979600466559,0.72400377895933,1003.5666666667,0.56666666666649
"2025-11-17 03:00:00",63.666666666667,1004.15,10.333333333333,0,0,0.70710678118655,0.70710678118655,-0.68979600466559,0.72400377895933,1003.8333333333,0.31666666666683
"2025-11-17 04:00:00",59.666666666667,1004.1166666667,9.9,0,0,0.86602540378444,0.5,-0.68979600466559,0.72400377895933,1004,0.11666666666667
"2025-11-17 05:00:00",57.5,1004.5666666667,9.4833333333333,0,0,0.96592582628907,0.25881904510252,-0.68979600466559,0.72400377895933,1004.1333333333,0.43333333333339
"2025-11-17 06:00:00",59.333333333333,1005.2166666667,9.3,0,0,1,6.1232339957368E-17,-0.68979600466559,0.72400377895933,1004.15,1.0666666666667
"2025-11-17 07:00:00",60.666666666667,1005.6,9.3166666666667,0,0,0.96592582628907,-0.25881904510252,-0.68979600466559,0.72400377895933,1004.1166666667,1.4833333333333
"2025-11-17 08:00:00",62.666666666667,1006.25,9.35,0,0,0.86602540378444,-0.5,-0.68979600466559,0.72400377895933,1004.5666666667,1.6833333333334
"2025-11-17 09:00:00",66,1007.0333333333,9.5,0,0,0.70710678118655,-0.70710678118655,-0.68979600466559,0.72400377895933,1005.2166666667,1.8166666666666
"2025-11-17 10:00:00",68.666666666667,1007.6666666667,9.85,0,0,0.5,-0.86602540378444,-0.68979600466559,0.72400377895933,1005.6,2.0666666666665
"2025-11-17 11:00:00",69.666666666667,1008.2166666667,10.183333333333,0,0,0.25881904510252,-0.96592582628907,-0.68979600466559,0.72400377895933,1006.25,1.9666666666667
"2025-11-17 12:00:00",70.5,1008.6166666667,10.5,0,0,1.2246467991474E-16,-1,-0.68979600466559,0.72400377895933,1007.0333333333,1.5833333333334
"2025-11-17 13:00:00",70.5,1009.5666666667,10.833333333333,0,0,-0.25881904510252,-0.96592582628907,-0.68979600466559,0.72400377895933,1007.6666666667,1.9000000000002
"2025-11-17 14:00:00",68.166666666667,1010.45,10.783333333333,0,0,-0.5,-0.86602540378444,-0.68979600466559,0.72400377895933,1008.2166666667,2.2333333333332
"2025-11-17 15:00:00",68.5,1011.1,10.933333333333,0,0,-0.70710678118655,-0.70710678118655,-0.68979600466559,0.72400377895933,1008.6166666667,2.4833333333333
"2025-11-17 16:00:00",67,1011.8833333333,10.883333333333,0,0,-0.86602540378444,-0.5,-0.68979600466559,0.72400377895933,1009.5666666667,2.3166666666666
"2025-11-17 17:00:00",62.5,1012.85,10.366666666667,0,0,-0.96592582628907,-0.25881904510252,-0.68979600466559,0.72400377895933,1010.45,2.4
"2025-11-17 18:00:00",58.333333333333,1013.8833333333,9.7833333333333,0,0,-1,-1.836970198721E-16,-0.68979600466559,0.72400377895933,1011.1,2.7833333333333
